t,x,u
0.03,0.59,31747.610447894418
0.03,0.6,33138.19661025293
0.03,0.61,34559.25175527229
0.03,0.62,36010.41415839982
0.03,0.63,37491.293171744874
0.03,0.64,39001.469616015886
0.03,0.65,40540.496200713125
0.03,0.66,42107.897972162486
0.03,0.67,43703.17278894821
0.03,0.68,45325.79182427534
0.03,0.6900000000000001,46975.200094766
0.03,0.7000000000000001,48650.81701516791
0.03,0.71,50352.036978427415
0.03,0.72,52078.22996055477
0.03,0.73,53828.742149684644
0.03,0.74,55602.896598711115
0.03,0.75,57399.99390085299
0.03,0.76,59219.312887482854
0.03,0.77,61060.11134753108
0.03,0.78,62921.626767754875
0.03,0.79,64803.077093141874
0.03,0.8,66703.66150669771
0.03,0.81,68622.5612278481
0.03,0.8200000000000001,70558.94032866754
0.03,0.8300000000000001,72511.94656712902
0.03,0.84,74480.71223655253
0.03,0.85,76464.35503041383
0.03,0.86,78461.9789216605
0.03,0.87,80472.67505566683
0.03,0.88,82495.52265594693
0.03,0.89,84529.58994173186
0.03,0.9,86573.93505650532
0.03,0.91,88627.60700658163
0.03,0.92,90689.64660879967
0.03,0.93,92759.08744639749
0.03,0.9400000000000001,94834.95683212436
0.03,0.9500000000000001,96916.2767776397
0.03,0.96,99002.06496824218
0.03,0.97,101091.3357419672
0.03,0.98,103183.10107208634
0.03,0.99,105276.37155203923
0.03,1.0,107370.15738182586
0.04,0.0,0.9607894391523232
0.04,0.01,4.902390040122486
0.04,0.02,14.80332883105748
0.04,0.03,34.64825089910355
0.04,0.04,69.41451603272144
0.04,0.05,125.067872360967
0.04,0.06,208.55715526362482
0.04,0.07,327.80801688241814
0.04,0.08,491.71569252019896
0.04,0.09,710.1368111654962
0.04,0.1,993.8802583231337
0.04,0.11,1354.69710026689
0.04,0.12,1805.2695797564313
0.04,0.13,2359.199194177108
0.04,0.14,3030.993867966737
0.04,0.15,3836.0542320873233
0.04,0.16,4790.659024180915
0.04,0.17,5911.9496239165655
0.04,0.18,7217.913738888828
0.04,0.19,8727.368257266535
0.04,0.2,10459.941284212886
0.04,0.21,12436.053379903466
0.04,0.22,14676.898017756626
0.04,0.23,17204.421282260355
0.04,0.24,20041.30082653006
0.04,0.25,23210.924110462336
0.04,0.26,26737.365941059707
0.04,0.27,30645.365337190015
0.04,0.28,34960.30174171086
0.04,0.29,39708.17060453348
0.04,0.3,44915.55836082143
0.04,0.31,50609.616829116094
0.04,0.32,56818.03705475384
0.04,0.33,63569.0226244868
0.04,0.34,70891.2624787412
0.04,0.35000000000000003,78813.90324844299
0.04,0.36,87366.5211438097
0.04,0.37,96579.09342294952
0.04,0.38,106481.96946852325
0.04,0.39,117105.84150111202
0.04,0.4,128481.7149582913
0.04,0.41000000000000003,140640.87856874257
0.04,0.42,153614.8741510345
0.04,0.43,167435.4661669772
0.04,0.44,182134.61105969528
0.04,0.45,197744.42640677845
0.04,0.46,214297.15991905
0.04,0.47000000000000003,231825.1583156465
0.04,0.48,250360.83610622401
0.04,0.49,269936.64431119774
0.04,0.5,290585.0391509829
0.04,0.51,312338.4507352356
0.04,0.52,335229.25178309233
0.04,0.53,359289.7264053764
0.04,0.54,384552.03897967754
0.04,0.55,411048.2031491204
0.04,0.56,438810.050975515
0.04,0.5700000000000001,467869.20227743004
0.04,0.58,498257.0341835471
0.04,0.59,530004.6509314415
0.04,0.6,563142.8539416944
0.04,0.61,597702.1121969667
0.04,0.62,633712.5329553664
0.04,0.63,671203.8328271114
0.04,0.64,710205.3092431272
0.04,0.65,750745.8123438404
0.04,0.66,792853.7173160028
0.04,0.67,836556.897204951
0.04,0.68,881882.6962292263
0.04,0.6900000000000001,928857.9036239923
0.04,0.7000000000000001,977508.7280391603
0.04,0.71,1027860.7725175876
0.04,0.72,1079939.0100781424
0.04,0.73,1133767.759927827
0.04,0.74,1189370.664326538
0.04,0.75,1246770.6661273912
0.04,0.76,1305989.987014874
0.04,0.77,1367050.1064624048
0.04,0.78,1429971.7414301597
0.04,0.79,1494774.8268233016
0.04,0.8,1561478.4967299993
0.04,0.81,1630101.0664578474
0.04,0.8200000000000001,1700660.015386515
0.04,0.8300000000000001,1773171.970653644
0.04,0.84,1847652.6916901965
0.04,0.85,1924117.0556206105
0.04,0.86,2002579.043542271
0.04,0.87,2083051.7276979377
0.04,0.88,2165547.259553885
0.04,0.89,2250076.858795617
0.04,0.9,2336650.803252122
0.04,0.91,2425278.4197587036
0.04,0.92,2515968.0759675032
0.04,0.93,2608727.1731139007
0.04,0.9400000000000001,2703562.139746025
0.04,0.9500000000000001,2800478.4264236647
0.04,0.96,2899480.5013919068
0.04,0.97,3000571.8472338743
0.04,0.98,3103754.9585059606
0.04,0.99,3209031.3403580002
0.04,1.0,3316401.5081398264
0.05,0.0,0.951229424500714
0.05,0.01,5.854219464623201
0.05,0.02,20.65824829568068
0.05,0.03,55.30729919478423
0.05,0.04,124.72271522750566
0.05,0.05,249.79158758847265
0.05,0.06,458.3498428520975
0.05,0.07,786.1590597345156
0.05,0.08,1277.8760522547145
0.05,0.09,1988.0142634202107
0.05,0.1,2981.896021743344
0.05,0.11,4336.594722010233
0.05,0.12,6141.866001766664
0.05,0.13,8501.066995943773
0.05,0.14,11532.06276391051
0.05,0.15,15368.118995997833
0.05,0.16,20158.780120178748
0.05,0.17,26070.73194409531
0.05,0.18,33288.64798298414
0.05,0.19,42016.01864025067
0.05,0.2,52475.96242446356
0.05,0.21,64912.01840436703
0.05,0.22,79588.91912212365
0.05,0.23,96793.34320438401
0.05,0.24,116834.64693091408
0.05,0.25,140045.5740413764
0.05,0.26,166782.94308243613
0.05,0.27,197428.31161962615
0.05,0.28,232388.61666133703
0.05,0.29,272096.7906658705
0.05,0.3,317012.3525266919
0.05,0.31,367621.972955808
0.05,0.32,424440.01371056185
0.05,0.33,488009.0401350487
0.05,0.34,558900.3065137899
0.05,0.35000000000000003,637714.2137622329
0.05,0.36,725080.7390060426
0.05,0.37,821659.8366289921
0.05,0.38,928141.8103975154
0.05,0.39,1045247.6562986274
0.05,0.4,1173729.3757569187
0.05,0.41000000000000003,1314370.2589256614
0.05,0.42,1467985.137776696
0.05,0.43,1635420.608743673
0.05,0.44,1817555.2247033683
0.05,0.45,2015299.6561101465
0.05,0.46,2229596.821129197
0.05,0.47000000000000003,2461421.9846448433
0.05,0.48,2711782.826051067
0.05,0.49,2981719.475762265
0.05,0.5,3272304.520413248
0.05,0.51,3584642.9767484833
0.05,0.52,3919872.234231576
0.05,0.53,4279161.966436952
0.05,0.54,4663714.01131663
0.05,0.55,5074762.22046575
0.05,0.56,5513572.277541265
0.05,0.5700000000000001,5981441.486018695
0.05,0.58,6479698.526502241
0.05,0.59,7009703.183833683
0.05,0.6,7572846.044275377
0.05,0.61,8170548.163072344
0.05,0.62,8804260.70272771
0.05,0.63,9475464.542354822
0.05,0.64,10185669.85849795
0.05,0.65,10936415.677841788
0.05,0.66,11729269.40225779
0.05,0.67,12565826.306662742
0.05,0.68,13447709.01019197
0.05,0.6900000000000001,14376566.921215963
0.05,0.7000000000000001,15354075.656755123
0.05,0.71,16381936.436872711
0.05,0.72,17461875.454650853
0.05,0.73,18595643.222378682
0.05,0.74,19785013.89460522
0.05,0.75,21031784.56873261
0.05,0.76,22337774.563847486
0.05,0.77,23704824.67850989
0.05,0.78,25134796.42824005
0.05,0.79,26629571.263463352
0.05,0.8,28191049.76869335
0.05,0.81,29821150.8437512
0.05,0.8200000000000001,31521810.867837712
0.05,0.8300000000000001,33294982.847291358
0.05,0.84,35142635.54788156
0.05,0.85,37066752.61250217
0.05,0.86,39069331.66514444
0.05,0.87,41152383.40204238
0.05,0.88,43317930.67089627
0.05,0.89,45568007.53909189
0.05,0.9,47904658.35184401
0.05,0.91,50329936.78120272
0.05,0.92,52845904.866870224
0.05,0.93,55454632.049784124
0.05,0.9400000000000001,58158194.19943015
0.05,0.9500000000000001,60958672.63585381
0.05,0.96,63858153.14734572
0.05,0.97,66858725.0047796
0.05,0.98,69962479.97358556
0.05,0.99,73171511.32434356
0.05,1.0,76487912.84298338
0.06,0.0,0.9417645335842487
0.06,0.01,6.79668399820745
0.06,0.02,27.45573229388813
0.06,0.03,82.76393148867236
0.06,0.04,207.48764671617803
0.06,0.05,457.2803343046507
0.06,0.06,915.6313771567483
0.06,0.07,1701.7917368912638
0.06,0.08,2979.6691891459786
0.06,0.09,4967.684952566189
0.06,0.1,7949.582574309533
0.06,0.11,12286.178996319766
0.06,0.12,18428.046798086427
0.06,0.13,26929.1156940302
0.06,0.14,38461.18045794071
0.06,0.15,53829.30155393854
0.06,0.16,73988.08387411729
0.06,0.17,100058.8181182126
0.06,0.18,133347.46850119674
0.06,0.19,175363.4896414474
0.06,0.2,227839.45466591098
0.06,0.21,292751.475770278
0.06,0.22,372340.39769240166
0.06,0.23,469133.7437967857
0.06,0.24,585968.3937276998
0.06,0.25,726013.9708690761
0.06,0.26,892796.9171515122
0.06,0.27,1090225.2320711385
0.06,0.28,1322613.8521324755
0.06,0.29,1594710.646298346
0.06,0.3,1911723.002425038
0.06,0.31,2279344.9790808456
0.06,0.32,2703784.9965914073
0.06,0.33,3191794.040626456
0.06,0.34,3750694.3511402463
0.06,0.35000000000000003,4388408.569002478
0.06,0.36,5113489.312208521
0.06,0.37,5935149.153137513
0.06,0.38,6863290.9679350285
0.06,0.39,7908538.628733655
0.06,0.4,9082268.009090574
0.06,0.41000000000000003,10396638.272716235
0.06,0.42,11864623.41529293
0.06,0.43,13500044.028936602
0.06,0.44,15317599.25863997
0.06,0.45,17332898.91985012
0.06,0.46,19562495.746179312
0.06,0.47000000000000003,22023917.736124158
0.06,0.48,24735700.567575224
0.06,0.49,27717420.048837487
0.06,0.5,30989724.574850734
0.06,0.51,34574367.55729922
0.06,0.52,38494239.7973308
0.06,0.53,42773401.76966775
0.06,0.54,47437115.78698438
0.06,0.55,52511878.013550125
0.06,0.56,58025450.29729139
