t,x,u
0.02,0.31,1.00571
0.02,0.32,1.00443
0.02,0.33,1.00216
0.02,0.34,0.998915
0.02,0.35,0.994688
0.02,0.36,0.989487
0.02,0.37,0.983317
0.02,0.38,0.976183
0.02,0.39,0.968094
0.02,0.4,0.959057
0.02,0.41,1.86684
0.02,0.42,0.0043
0.02,0.43,0.0086
0.02,0.44,1.0088
0.02,0.45,1.00851
0.02,0.46,1.00723
0.02,0.47,1.00496
0.02,0.48,1.00171
0.02,0.49,0.997488
0.02,0.5,0.992287
0.02,0.51,0.986117
0.02,0.52,0.978983
0.02,0.53,0.970894
0.02,0.54,0.961857
0.02,0.55,1.86964
0.02,0.56,0.0057
0.02,0.57,0.0114
0.02,0.58,1.0116
0.02,0.59,1.01131
0.02,0.6,1.01003
0.02,0.61,1.00776
0.02,0.62,1.00451
0.02,0.63,1.00029
0.02,0.64,0.995087
0.02,0.65,0.988917
0.02,0.66,0.981783
0.02,0.67,0.973694
0.02,0.68,0.964657
0.02,0.69,1.87244
0.02,0.7,0.0071
0.02,0.71,0.0142
0.02,0.72,1.0144
0.02,0.73,1.01411
0.02,0.74,1.01283
0.02,0.75,1.01056
0.02,0.76,1.00731
0.02,0.77,1.00309
0.02,0.78,0.997887
0.02,0.79,0.991717
0.02,0.8,0.984583
0.02,0.81,0.976494
0.02,0.82,0.967457
0.02,0.83,1.87524
0.02,0.84,0.0085
0.02,0.85,0.017
0.02,0.86,1.0172
0.02,0.87,1.01691
0.02,0.88,1.01563
0.02,0.89,1.01336
0.02,0.9,1.01011
0.02,0.91,1.00589
0.02,0.92,1.00069
0.02,0.93,0.994517
0.02,0.94,0.987383
0.02,0.95,0.979294
0.02,0.96,0.970257
0.02,0.97,0.960281
0.02,0.98,0.949376
0.02,0.99,0.937555
0.02,1,0.924827
0.03,0,0.970446
0.03,0.01,0.980499
0.03,0.02,0.99065
0.03,0.03,1.0009
0.03,0.04,1.00071
0.03,0.05,0.999527
0.03,0.06,0.997362
0.03,0.07,0.994215
0.03,0.08,0.990088
0.03,0.09,0.984987
0.03,0.1,0.978917
0.03,0.11,0.971883
0.03,0.12,0.0461391
0.03,0.13,1.88603
0.03,0.14,0.932676
0.03,0.15,0.0032
0.03,0.16,0.0048
0.03,0.17,1.0051
0.03,0.18,1.00491
0.03,0.19,1.00373
0.03,0.2,1.00156
0.03,0.21,0.998415
0.03,0.22,0.994288
0.03,0.23,0.989187
0.03,0.24,0.983117
0.03,0.25,0.976083
0.03,0.26,0.0503391
0.03,0.27,1.89163
0.03,0.28,0.935476
0.03,0.29,0.006
0.03,0.3,0.009
0.03,0.31,1.0093
0.03,0.32,1.00911
0.03,0.33,1.00793
0.03,0.34,1.00576
0.03,0.35,1.00261
0.03,0.36,0.998488
0.03,0.37,0.993387
0.03,0.38,0.987317
0.03,0.39,0.980283
0.03,0.4,0.0545391
0.03,0.41,1.89723
0.03,0.42,0.938276
0.03,0.43,0.0088
0.03,0.44,0.0132
0.03,0.45,1.0135
0.03,0.46,1.01331
0.03,0.47,1.01213
0.03,0.48,1.00996
0.03,0.49,1.00681
0.03,0.5,1.00269
0.03,0.51,0.997587
0.03,0.52,0.991517
0.03,0.53,0.984483
0.03,0.54,0.0587391
0.03,0.55,1.90283
0.03,0.56,0.941076
0.03,0.57,0.0116
0.03,0.58,0.0174
0.03,0.59,1.0177
0.03,0.6,1.01751
0.03,0.61,1.01633
0.03,0.62,1.01416
0.03,0.63,1.01101
0.03,0.64,1.00689
0.03,0.65,1.00179
0.03,0.66,0.995717
0.03,0.67,0.988683
0.03,0.68,0.0629391
0.03,0.69,1.90843
0.03,0.7,0.943876
0.03,0.71,0.0144
0.03,0.72,0.0216
0.03,0.73,1.0219
0.03,0.74,1.02171
