t,x,u
0.0,0.0,1.0
0.0,1.0,0.36787944117144233
0.0,2.0,0.1353352832366127
0.0,3.0,0.049787068367863944
1.0,0.0,-1.0
1.0,1.0,1.2315306597126334
1.0,2.0,1.34813016014843
1.0,3.0,1.7070849986238987
2.0,0.0,1.0
2.0,1.0,2.5
2.0,2.0,2.8678794411714423
2.0,3.0,3.635335283236613
3.0,0.0,-1.0
3.0,1.0,1.5
3.0,2.0,4.731530659712633
3.0,3.0,5.84813016014843
