t,x,u
0.02,0.2,0.848328
0.02,0.21,0.831281
0.02,0.22,0.813417
0.02,0.23,0.794755
0.02,0.24,0.775313
0.02,0.25,0.755111
0.02,0.26,0.734169
0.02,0.27,0.712507
0.02,0.28,0.690147
0.02,0.29,0.667112
0.02,0.3,0.643424
0.02,0.31,0.619107
0.02,0.32,0.594185
0.02,0.33,0.568683
0.02,0.34,0.542627
0.02,0.35,0.516041
0.02,0.36,0.488954
0.02,0.37,0.46139
0.02,0.38,0.433379
0.02,0.39,0.404948
0.02,0.4,0.376125
0.02,0.41,0.346938
0.02,0.42,0.317417
0.02,0.43,0.287591
0.02,0.44,0.25749
0.02,0.45,0.227143
0.02,0.46,0.196581
0.02,0.47,0.165834
0.02,0.48,0.134933
0.02,0.49,0.103908
0.02,0.5,0.0727905
0.02,0.51,0.0416108
0.02,0.52,0.0104
0.02,0.53,-0.0208108
0.02,0.54,-0.0519905
0.02,0.55,-0.0831083
0.02,0.56,-0.114133
0.02,0.57,-0.145034
0.02,0.58,-0.175781
0.02,0.59,-0.206343
0.02,0.6,-0.23669
0.02,0.61,-0.266791
0.02,0.62,-0.296617
0.02,0.63,-0.326138
0.02,0.64,-0.355325
0.02,0.65,-0.384148
0.02,0.66,-0.412579
0.02,0.67,-0.44059
0.02,0.68,-0.468154
0.02,0.69,-0.495241
0.02,0.7,-0.521827
0.02,0.71,-0.547883
0.02,0.72,-0.573385
0.02,0.73,-0.598307
0.02,0.74,-0.622624
0.02,0.75,-0.646312
0.02,0.76,-0.669347
0.02,0.77,-0.691707
0.02,0.78,-0.713369
0.02,0.79,-0.734311
0.02,0.8,-0.754513
0.02,0.81,-0.773955
0.02,0.82,-0.792617
0.02,0.83,-0.810481
0.02,0.84,-0.827528
0.02,0.85,-0.843742
0.02,0.86,-0.859107
0.02,0.87,-0.873607
0.02,0.88,-0.887227
0.02,0.89,-0.899955
0.02,0.9,-0.911776
0.02,0.91,-0.922681
0.02,0.92,-0.932657
0.02,0.93,-0.941694
0.02,0.94,-0.949783
0.02,0.95,-0.956917
0.02,0.96,-0.963087
0.02,0.97,-0.968288
0.02,0.98,-0.972515
0.02,0.99,-0.975762
0.02,1,-0.978027
0.03,0,0.970446
0.03,0.01,0.980499
0.03,0.02,0.99065
0.03,0.03,1.0009
0.03,0.04,1.00071
0.03,0.05,0.999527
0.03,0.06,0.997362
0.03,0.07,0.994215
0.03,0.08,0.990088
0.03,0.09,0.984987
0.03,0.1,0.978917
0.03,0.11,0.971883
